0.5656-5.7519i,0.41043-4.1739i,0.36951-3.7578i,0.36782-3.7406i,0.33415-3.3982i,0.26839-2.7294i,0.24601-2.5018i,0.2041-2.0756i,0.22942-2.3331i,0.27278-2.774i,0.26905-2.7361i,0.55959-5.6908i,0.20914-2.1269i,0.1364-1.3871i,0.14395-1.4639i,0.088677-0.90181i,0.17703-1.8003i,0.40526-4.1213i,0.15682-1.5948i,0.18058-1.8365i,0.19754-2.0089i,0.2176-2.2129i,0.15148-1.5405i,0,0.22272-2.2649i,0.15348-1.5608i,0.18904-1.9225i,0.25695-2.6131i,0.31646-3.2182i,0.16253-1.6528i,0.16949-1.7236i,0.1168-1.1878i,0.53478-5.4384i,0.30866-3.139i,0.2036-2.0705i,0.14026-1.4264i,0.082006-0.83396i,0.17317-1.7611i,0.19988-2.0327i,0,0.18366-1.8677i,0.13583-1.3813i,0.19578-1.991i,0.39811-4.0486i,0,0.26047-2.6489i,0.11941-1.2143i,0.097026-0.98671i,0.22954-2.3344i,0.25034-2.5458i,0.19694-2.0028i,0.32406-3.2955i,0.21706-2.2074i,0,0.24367-2.478i,0.17938-1.8242i,0.1761-1.7908i,0.23939-2.4345i,0.20131-2.0472i,0.2432-2.4732i,0.23422-2.3819i,0.15506-1.5769i,0.15418-1.5679i,0.035052-0.35647i,0.26696-2.7148i,0.40517-4.1204i,0.18739-1.9056i,0.17992-1.8297i,0.18675-1.8992i,0.18025-1.8331i,0.093265-0.94846i,0.13668-1.39i,0.29817-3.0323i,0.22675-2.306i,0.31816-3.2355i,0.26818-2.7272i,0.18667-1.8983i,0.19903-2.024i,0.14816-1.5067i,0.084687-0.86123i,0.33618-3.4188i,0.27239-2.7701i,0.17754-1.8055i,0.19536-1.9867i,0.22421-2.2801i,0.14528-1.4774i,0.14764-1.5014i,0.18284-1.8594i,0.35486-3.6088i,0.26413-2.6861i,0.20186-2.0528i,0.18116-1.8423i,0.097026-0.98671i,0.14486-1.4731i,0.179-1.8204i,0.19029-1.9352i,0.20714-2.1065i,0.18651-1.8967i,0.15303-1.5563i,0.19844-2.018i,0.15516-1.5779i,0.1845-1.8763i,0.12387-1.2597i,0.035578-0.36181i,0.2008-2.042i,0.2197-2.2342i,0.27793-2.8264i,0.26264-2.671i,0.37992-3.8637i,0.34107-3.4685i,0.24314-2.4726i,0.15447-1.5709i,0.45372-4.6141i,0.32795-3.3351i,0.23603-2.4003i,0.36446-3.7064i,0.19457-1.9786i,0.17125-1.7416i,0.10971-1.1157i,0.10222-1.0395i,0.20403-2.0749i,0.27935-2.8408i,0.25628-2.6063i,0.23357-2.3753i,0.18353-1.8665i,0.17378-1.7673i,0.18157-1.8465i,0.19784-2.0119i,0.2707-2.7529i,0.28533-2.9017i,0.15682-1.5948i,0.24073-2.4482i,0.18551-1.8866i,0.16566-1.6847i,0.18479-1.8792i,0.091853-0.93411i,0.14857-1.5109i,0.1556-1.5824i,0.22544-2.2926i,0.25692-2.6128i,0.26563-2.7013i,0.23752-2.4154i,0.14206-1.4447i,0.20295-2.0639i,0.16998-1.7286i,0.24204-2.4615i,0.15072-1.5327i,0.3083-3.1353i,0.28577-2.9062i,0.023739-0.24142i,0.11861-1.2062i,0,0.11391-1.1584i,0.3134-3.1871i,0.42698-4.3422i,0.2134-2.1702i,0.23462-2.3859i,0.2149-2.1855i,0.43434-4.417i,0.18936-1.9257i
0.57681-5.8659i,0.45081-4.5846i,0.408-4.1492i,0.41267-4.1966i,0.36458-3.7076i,0.29168-2.9662i,0.2429-2.4702i,0.26247-2.6692i,0.26541-2.6991i,0.31126-3.1653i,0.34204-3.4784i,0.73649-7.4897i,0.2744-2.7906i,0.24634-2.5052i,0.17147-1.7438i,0.14717-1.4967i,0.2603-2.6471i,0.5379-5.4702i,0.21194-2.1554i,0.27202-2.7664i,0.31448-3.1981i,0.29887-3.0394i,0.14649-1.4897i,0,0.33097-3.3658i,0.20494-2.0841i,0.26265-2.6711i,0.35201-3.5798i,0.44483-4.5237i,0.21276-2.1637i,0.22462-2.2843i,0.17922-1.8226i,0.71799-7.3017i,0.42821-4.3547i,0.28684-2.917i,0.17945-1.8249i,0.19701-2.0035i,0.21743-2.2111i,0.26607-2.7058i,0.057922-0.58904i,0.2704-2.7499i,0.17888-1.8192i,0.24415-2.4829i,0.54871-5.5801i,0.084687-0.86123i,0.36178-3.6791i,0.16025-1.6297i,0.10451-1.0629i,0.30209-3.0721i,0.32851-3.3408i,0.27041-2.75i,0.43236-4.3969i,0.31304-3.1835i,0.11377-1.157i,0.34833-3.5423i,0.26754-2.7207i,0.25214-2.5641i,0.33245-3.3808i,0.2741-2.7874i,0.30676-3.1196i,0.30797-3.1319i,0.21002-2.1358i,0.21065-2.1422i,0.15162-1.5419i,0.36485-3.7104i,0.55593-5.6535i,0.24029-2.4437i,0.22875-2.3263i,0.2506-2.5485i,0.22011-2.2384i,0.165-1.678i,0.23394-2.3791i,0.4223-4.2946i,0.33533-3.4102i,0.41784-4.2492i,0.34543-3.5129i,0.24524-2.494i,0.2202-2.2393i,0.19302-1.9629i,0.10941-1.1127i,0.45382-4.6152i,0.34134-3.4713i,0.21012-2.1368i,0.28587-2.9072i,0.34857-3.5448i,0.22525-2.2907i,0.20971-2.1326i,0.20142-2.0484i,0.48964-4.9794i,0.32574-3.3127i,0.29927-3.0434i,0.25213-2.564i,0.20224-2.0567i,0.22117-2.2492i,0.24869-2.529i,0.24567-2.4983i,0.2803-2.8505i,0.30269-3.0782i,0.21496-2.1861i,0.24365-2.4778i,0.23214-2.3607i,0.24447-2.4861i,0.16814-1.7099i,0.096235-0.97867i,0.29655-3.0158i,0.31697-3.2234i,0.37803-3.8444i,0.35284-3.5882i,0.50539-5.1395i,0.45161-4.5927i,0.2829-2.8769i,0.21886-2.2257i,0.61619-6.2664i,0.43867-4.4611i,0.34347-3.4929i,0.50175-5.1026i,0.2311-2.3502i,0.19585-1.9917i,0.1359-1.3821i,0.15047-1.5302i,0.21712-2.208i,0.40585-4.1273i,0.3086-3.1383i,0.33396-3.3962i,0.22502-2.2883i,0.22983-2.3372i,0.2611-2.6553i,0.22374-2.2754i,0.38121-3.8767i,0.37093-3.7722i,0.23777-2.4181i,0.3459-3.5176i,0.2688-2.7335i,0.20762-2.1114i,0.21705-2.2073i,0.088827-0.90333i,0.21979-2.2352i,0.23065-2.3456i,0.34485-3.507i,0.362-3.6814i,0.36652-3.7273i,0.29082-2.9575i,0.22632-2.3015i,0.25351-2.5781i,0.22324-2.2702i,0.33788-3.4361i,0.14575-1.4823i,0.39407-4.0075i,0.40229-4.0911i,0.14476-1.4721i,0.16048-1.632i,0.06374-0.64821i,0.22538-2.292i,0.43125-4.3856i,0.5938-6.0387i,0.36655-3.7277i,0.30481-3.0998i,0.27047-2.7506i,0.58419-5.941i,0.2312-2.3512i
0.26785-2.7239i,0.27858-2.833i,0.28653-2.9139i,0.29391-2.9889i,0.25768-2.6205i,0.19209-1.9535i,0.1399-1.4227i,0.22634-2.3018i,0.21605-2.1972i,0.26313-2.6759i,0.28658-2.9144i,0.72828-7.4063i,0.24859-2.5281i,0.24701-2.512i,0.22562-2.2944i,0.18011-1.8316i,0.27623-2.8091i,0.55349-5.6287i,0.21132-2.1491i,0.32529-3.3081i,0.31532-3.2066i,0.31366-3.1898i,0.10347-1.0523i,0.1023-1.0403i,0.30953-3.1478i,0.20625-2.0975i,0.26506-2.6956i,0.34495-3.508i,0.40682-4.1372i,0.21212-2.1572i,0.23773-2.4176i,0.18971-1.9292i,0.70054-7.1241i,0.44535-4.529i,0.30288-3.0802i,0.22406-2.2786i,0.19572-1.9904i,0.21287-2.1648i,0.21163-2.1522i,0.056014-0.56963i,0.28348-2.8829i,0.12293-1.2502i,0.24855-2.5276i,0.56767-5.7729i,0.1105-1.1238i,0.35186-3.5783i,0.14163-1.4403i,0.099901-1.0159i,0.33428-3.3994i,0.30624-3.1143i,0.22599-2.2982i,0.44194-4.4943i,0.35479-3.608i,0.16379-1.6657i,0.36378-3.6995i,0.22314-2.2693i,0.31021-3.1547i,0.28277-2.8757i,0.27828-2.83i,0.24551-2.4967i,0.26291-2.6737i,0.17482-1.7778i,0.19622-1.9955i,0.20624-2.0974i,0.359-3.6509i,0.53791-5.4703i,0.25322-2.5751i,0.17124-1.7414i,0.2633-2.6776i,0.23687-2.4088i,0.2067-2.102i,0.26034-2.6476i,0.44487-4.5241i,0.36176-3.679i,0.39699-4.0372i,0.31515-3.2049i,0.2386-2.4265i,0.19807-2.0143i,0.14625-1.4873i,0.19595-1.9927i,0.46611-4.7401i,0.29279-2.9776i,0.19898-2.0236i,0.28061-2.8537i,0.38412-3.9063i,0.25476-2.5908i,0.1767-1.797i,0.10029-1.0199i,0.47767-4.8577i,0.318-3.2339i,0.31553-3.2088i,0.2661-2.7061i,0.28064-2.8539i,0.22937-2.3326i,0.26687-2.7139i,0.18206-1.8514i,0.27308-2.7771i,0.32091-3.2635i,0.19383-1.9711i,0.27157-2.7617i,0.21776-2.2145i,0.1691-1.7196i,0.14999-1.5253i,0.11245-1.1436i,0.32-3.2543i,0.3263-3.3184i,0.3922-3.9885i,0.34357-3.4939i,0.50786-5.1647i,0.45007-4.577i,0.21986-2.2359i,0.22293-2.2671i,0.61299-6.2338i,0.44151-4.4899i,0.3717-3.78i,0.49321-5.0157i,0.2224-2.2617i,0.17115-1.7405i,0.12886-1.3104i,0.12459-1.267i,0.17898-1.8201i,0.44073-4.4821i,0.29291-2.9787i,0.33662-3.4233i,0.14429-1.4673i,0.21548-2.1913i,0.22723-2.3108i,0.14052-1.429i,0.37863-3.8505i,0.3406-3.4638i,0.23352-2.3748i,0.35874-3.6482i,0.30379-3.0894i,0.21286-2.1647i,0.16922-1.7209i,0.10135-1.0307i,0.22009-2.2382i,0.21387-2.175i,0.36184-3.6797i,0.36412-3.7029i,0.38457-3.9109i,0.23553-2.3952i,0.30293-3.0807i,0.20878-2.1232i,0.25843-2.6281i,0.3502-3.5614i,1.0394e-07,0.36117-3.6729i,0.43722-4.4463i,0.16106-1.6379i,0.16322-1.6599i,0.06164-0.62685i,0.21053-2.141i,0.41107-4.1804i,0.60902-6.1934i,0.43636-4.4376i,0.23982-2.4389i,0.27936-2.8409i,0.52727-5.3621i,0.2258-2.2963i
11.116,7.8756,7.0327,6.9098,6.12,5.1364,4.6695,3.601,4.3653,4.9434,4.8345,8.8063,3.3894,1.7071,1.7697,1.1727,1.7689,5.9665,2.3641,1.3564,2.9735,2.9969,2.8926,0.15706-1.5973i,3.379,2.073,1.4649,4.0821,4.9396,2.6404,2.3227,1.1054,8.2842,4.1621,3.0849,1.5079,1.2294,2.93,3.5725,0.051693-0.5257i,2.311,2.1095,2.8838,5.7675,0.16409-1.6687i,4.0914,2.2118,1.237,2.399,4.1794,3.5227,4.6673,2.7674,0.18886-1.9206i,3.62,3.0358,1.1985,3.9234,3.0704,4.0843,4.1041,2.432,1.9652,0.1816-1.8467i,4.0568,6.2574,3.1848,2.8133,3.0203,2.6349,1.0552,0.96556,3.4782,3.2803,5.0687,4.3477,2.9766,3.3352,2.7373,0.13215-1.3439i,4.7988,4.8536,3.0761,3.1593,2.5533,1.8288,2.2345,3.665,5.5357,3.8055,2.7245,2.3752,0.16885-1.7171i,1.7819,2.3853,3.3055,3.1737,2.2847,2.361,2.3977,2.4009,3.4488,2.0772,0.097098-0.98744i,2.9987,2.6809,3.8485,4.1544,5.7017,5.2378,4.286,2.3806,6.7879,4.6748,3.3764,5.4819,3.429,2.5948,1.9655,1.9907,3.6573,3.4492,4.1071,3.3536,3.4873,2.954,3.2004,3.885,3.8902,4.8847,2.253,3.6235,1.78,2.6379,3.5007,1.4712,2.2342,2.1123,3.1537,3.3721,3.9353,4.175,0.07973-0.81082i,3.8807,1.3461,3.3759,2.7129,5.1663,3.5915,0.072735-0.73969i,1.9791,0.14379-1.4623i,1.6288,4.905,6.2141,0.11024-1.1211i,4.1347,3.2309,7.5867,2.7118
19.901,14.629,13.243,13.123,11.698,9.5351,8.4963,7.635,8.4179,9.7422,9.9473,20.775,7.7331,5.7761,4.8767,3.6565,6.546,14.956,5.7877,6.7451,8.035,8.1295,5.1696,0.14992-1.5246i,8.6542,5.67,6.3718,9.6918,12.04,6.0804,6.1537,4.5615,19.979,11.382,7.8182,5.0122,4.3859,6.4013,7.499,1.0615,7.0824,4.5889,6.8602,14.938,0.085895-0.87351i,9.9537,4.4847,3.1218,8.0382,9.3459,7.5065,11.956,8.1865,1.3836,9.4101,6.9074,6.5469,8.9984,7.605,8.7257,8.8215,5.6861,5.6232,2.9624,9.8939,15.303,6.9554,6.3927,6.9988,6.4101,3.9617,5.7635,10.979,8.9385,11.736,9.8073,6.8257,6.9033,5.5781,2.4849,12.374,10.068,6.335,7.6438,8.8238,5.8621,5.4958,6.5684,13.467,9.2393,7.9332,6.598,4.5473,5.5173,6.8954,7.1264,7.573,7.5174,5.6255,6.737,5.8891,7.0502,4.5554,1.9751,7.9092,8.1789,10.238,9.775,14.022,12.657,8.587,6.0354,16.918,12.057,9.0838,13.685,6.9646,5.8865,3.9911,4.1712,7.0783,10.642,9.1255,8.7056,6.7091,6.4734,7.1522,7.1227,10.119,10.637,5.8752,9.2198,6.9039,6.0366,6.7316,2.7776,5.8706,5.9515,8.8544,9.502,10.054,8.5766,5.7492,7.4407,6.0332,9.0826,4.9028,11.437,10.655,2.5081,4.6065,0.11789-1.1989i,5.1976,11.747,16.115,8.7093,8.5463,7.6602,16.713,6.575
28.563,21.392,19.415,19.472,17.357,13.935,12.227,11.677,12.503,14.716,15.204,33.455,12.082,9.8184,8.3302,6.2861,11.171,24.252,9.3701,11.858,13.061,13.26,7.419,1.166,13.98,9.0807,11.176,15.427,19.181,9.6119,10.145,7.6647,32.2,18.736,12.57,8.4402,7.3105,9.9197,11.506,2.004,11.655,7.3982,11.051,24.38,3.0068,15.977,6.9978,4.9835,13.618,14.603,11.628,19.386,13.712,4.4299,15.279,10.888,11.351,14.189,12.175,13.553,13.62,8.9979,9.138,6.0869,15.901,24.571,10.942,9.9035,11.187,10.402,7.0464,9.79,18.362,14.634,18.63,15.426,10.901,10.569,8.4559,5.5873,20.221,15.368,9.8159,12.216,14.987,9.7567,8.8314,9.4204,21.547,14.831,12.996,10.979,8.6452,9.3174,11.108,10.765,12.241,12.644,9.1541,11.29,9.5661,10.578,7.1898,3.7795,12.909,13.619,16.785,15.574,22.61,20.278,13.036,9.6096,27.445,19.535,15.001,22.048,10.785,9.2687,6.2243,6.347,10.572,17.786,14.31,14.362,9.9057,10.162,11.077,10.357,16.535,16.544,9.8514,14.991,11.834,9.451,10.053,4.5896,9.4117,9.6558,14.7,15.635,16.266,13.119,10.148,11.312,10.236,14.854,7.1469,17.81,17.735,4.9869,7.1829,1.5693,8.6057,18.801,26.335,15.504,13.145,12.354,26.099,10.642
36.302,27.617,25.146,25.409,22.726,17.93,15.61,15.682,16.197,19.476,20.347,46.903,16.517,13.931,11.993,8.9209,16.012,33.978,12.93,17.245,18.171,18.607,9.4907,4.0557,19.399,12.627,16.385,21.281,26.493,13.09,14.218,10.945,45.172,26.537,17.502,12.08,10.269,13.429,15.387,2.856,16.427,10.276,15.402,34.305,5.4464,21.974,9.3806,7.0248,19.6,19.87,15.58,27.066,19.456,7.2744,21.243,14.948,16.493,19.391,16.789,18.365,18.197,12.374,12.895,9.167,22.168,34.139,14.926,13.659,15.397,14.408,10.062,13.944,26.293,20.436,25.676,21.116,15.014,14.173,11.17,8.8531,28.405,20.478,13.21,16.735,21.351,13.703,12.235,11.88,29.838,20.687,18.158,15.58,12.819,13.255,15.459,14.273,17.009,17.942,12.706,16.037,13.464,13.802,9.7926,5.6416,17.977,19.354,23.562,21.527,31.574,28.08,17.397,13.179,38.508,27.384,21.047,30.758,14.473,12.665,8.2321,8.3491,13.961,25.278,19.548,20.205,12.902,13.782,14.968,13.278,23.14,22.401,13.935,20.908,16.978,12.96,13.103,6.3664,12.967,13.53,20.657,22.113,22.642,17.534,14.819,14.964,14.742,20.783,9.2814,24.172,25.183,7.5095,9.7196,3.8565,12.072,26.04,37.046,22.667,17.733,17.161,35.404,14.78
42.221,32.657,29.825,30.418,27.518,21.156,18.238,19.198,19.13,23.645,24.975,60.505,20.704,17.872,15.678,11.397,20.91,43.605,16.353,22.705,22.962,23.681,11.267,6.67,24.483,16.048,21.976,26.798,33.42,16.257,18.103,14.041,58.255,34.35,22.096,15.691,12.945,16.604,18.863,3.7676,21,13.421,19.776,44.08,8.0669,27.476,11.49,9.1638,25.718,24.74,19.097,34.566,25.166,10.308,26.865,18.881,21.541,24.308,21.103,22.933,22.306,15.561,16.503,12.153,28.287,43.381,18.562,17.23,19.336,18.211,12.891,17.897,34.336,25.819,32.391,26.458,18.918,17.577,13.435,12.175,36.457,25.113,16.297,20.996,27.491,17.395,15.513,13.661,37.742,26.558,22.987,20.203,16.822,17.105,19.542,17.384,21.63,23.048,16.103,21.007,17.205,16.513,12.359,7.3771,22.668,25.082,30.224,27.14,40.393,35.56,21.346,16.462,49.539,35.09,26.799,39.244,17.875,15.879,10.176,9.8522,16.899,32.568,24.511,25.938,15.446,17.144,18.339,15.486,29.616,27.772,17.975,26.577,22.049,16.366,15.612,8.3549,16.258,17.223,26.374,28.594,28.683,21.569,19.251,18.116,19.294,26.535,11.345,29.964,32.598,9.9859,11.928,6.2902,15.28,33.015,47.674,29.752,22.064,21.851,43.705,18.928
45.545,36.042,33.042,34.072,31.339,23.224,19.861,21.914,20.933,26.833,28.777,73.339,24.31,21.29,19.121,13.632,25.439,52.411,19.357,27.752,27.147,28.128,12.605,9.3353,28.842,19.166,27.568,31.603,39.479,18.787,21.501,16.714,70.6,41.728,26.046,18.892,15.226,19.157,21.664,4.5452,25.057,16.607,23.953,53.036,10.679,31.823,13.127,11.313,31.543,28.776,21.955,41.261,30.412,13.07,31.588,22.476,26.089,28.605,24.736,26.928,25.479,18.429,19.764,14.643,33.871,51.529,21.639,20.526,22.737,21.398,15.295,21.264,41.987,30.276,38.247,31.041,22.294,20.509,15.061,15.418,43.799,28.838,18.849,24.601,32.807,20.533,18.376,14.485,44.623,32.094,27.031,24.469,20.304,20.652,22.922,19.801,25.876,27.519,19.148,25.764,20.701,18.364,14.779,8.7944,26.555,30.375,36.247,32.038,48.407,42.117,24.702,19.082,59.746,42.072,31.819,46.912,20.669,18.591,11.762,10.775,19.301,39.074,28.736,31.192,17.514,19.912,20.944,17.014,35.497,32.254,21.782,31.595,26.637,19.338,17.297,10.371,19.05,20.549,31.331,34.641,33.933,24.925,23.094,20.572,23.465,31.628,13.149,34.633,39.419,12.203,13.614,8.8854,18.164,39.21,57.419,36.166,26.006,26.018,49.947,22.68
46.045,37.55,34.621,36.097,34.103,23.996,20.328,23.584,21.5,28.781,31.505,84.427,27.125,23.947,21.983,15.42,29.296,59.753,21.785,32.074,30.444,31.531,13.708,11.8,32.079,21.873,32.755,35.391,44.221,20.44,24.035,18.647,81.283,48.23,29.102,21.558,17.1,20.984,23.716,5.2092,28.255,19.68,27.748,60.41,13.009,34.511,14.113,13.507,36.582,31.783,23.959,46.697,34.955,15.453,35.001,25.636,29.75,31.991,27.412,30.224,27.554,20.683,22.28,16.396,38.624,57.881,24.03,23.24,25.416,23.574,17.064,23.912,48.749,33.411,42.757,34.555,24.94,22.902,15.861,18.183,49.812,31.559,20.698,27.498,36.769,22.817,20.519,14.354,49.961,36.93,30.002,28.134,22.934,23.504,25.354,21.528,29.458,30.949,21.605,30.163,23.633,19.24,16.928,9.7093,29.391,34.886,41.226,35.851,55.083,47.255,27.125,20.822,68.316,47.831,35.71,53.229,22.767,20.603,13.015,11.005,21.032,44.149,31.998,35.551,19.1,22.029,22.558,17.749,40.362,35.624,25.09,35.623,30.362,21.814,18.017,12.289,21.165,23.289,35.133,39.854,38.024,27.421,25.974,22.285,26.955,35.736,14.687,37.8,45.262,14.111,14.65,11.436,20.514,44.237,65.455,41.28,29.506,29.475,53.171,25.697
44.02,37.376,34.801,36.612,35.838,23.536,19.723,24.073,21.024,29.455,33.213,92.867,28.994,25.651,24.022,16.796,32.248,65.143,23.522,35.305,32.872,33.741,14.616,13.732,33.931,24.198,37.174,38.03,47.419,21.233,25.606,19.641,89.496,53.538,31.124,23.428,18.58,22.115,25.062,5.7507,30.509,22.413,31.026,65.681,14.918,35.225,14.284,15.587,40.483,33.665,25.145,50.613,38.623,17.18,36.883,28.212,32.219,34.343,29.051,32.731,28.57,22.243,23.83,17.236,42.277,62.065,25.706,25.22,27.336,24.559,18.092,25.739,54.162,35.031,45.662,36.802,26.713,24.702,15.834,20.194,54.109,33.374,21.767,29.664,39.038,24.25,21.747,13.356,53.519,40.841,31.679,30.916,24.662,25.546,26.711,22.66,32.245,33.108,23.377,33.957,25.774,19.28,18.835,10.133,30.997,38.356,44.878,38.373,59.985,50.732,28.621,21.638,74.608,51.991,38.267,57.839,24.145,21.788,13.921,10.702,22.166,47.371,34.137,38.685,20.409,23.391,23.149,17.963,43.914,37.895,27.71,38.515,33.013,23.727,17.756,13.928,22.681,25.357,37.548,43.9,40.819,29.089,27.689,23.203,29.505,38.69,15.887,39.325,49.718,15.531,15.082,13.655,22.386,47.854,71.213,44.785,32.527,31.969,52.89,27.754
