-21.293,-21.348,-21.082,-21.357,-21.339,-21.51,-21.509,-21.46,-21.451,-21.366,-21.399,-20.871,-21.457,-21.513,-21.495,-21.465,-21.34,-21.018,-21.388,-21.439,-21.402,-21.464,-21.502,-21.494,-21.475,-21.468,-21.418,-21.432,-21.438,-21.478,-21.473,-21.482,-20.865,-21.452,-21.466,-21.461,-21.464,-21.455,-21.501,-21.514,-21.423,-21.458,-21.47,-21.387,-21.476,-21.508,-21.485,-21.486,-21.406,-21.441,-21.46,-21.477,-21.468,-21.479,-21.427,-21.461,-21.464,-21.457,-21.429,-21.416,-21.421,-21.478,-21.479,-21.49,-21.417,-21.443,-21.332,-21.357,-21.429,-21.49,-21.482,-21.45,-21.317,-21.471,-21.359,-21.454,-21.456,-21.483,-21.513,-21.506,-21.388,-21.476,-21.464,-21.49,-20.846,-21.498,-21.502,-21.477,-21.379,-21.406,-21.447,-21.49,-21.481,-21.497,-21.46,-21.464
-20.947,-21.088,-20.172,-21.038,-21.006,-21.503,-21.488,-21.37,-21.357,-21.108,-21.203,-19.418,-21.285,-21.481,-21.44,-21.385,-20.938,-19.862,-21.11,-21.268,-21.142,-21.329,-21.486,-21.459,-21.354,-21.339,-21.215,-21.259,-21.22,-21.37,-21.386,-21.397,-19.332,-21.268,-21.32,-21.365,-21.337,-21.298,-21.445,-21.514,-21.198,-21.339,-21.394,-21.109,-21.405,-21.483,-21.423,-21.423,-21.195,-21.289,-21.299,-21.385,-21.363,-21.408,-21.229,-21.317,-21.352,-21.302,-21.236,-21.172,-21.237,-21.401,-21.403,-21.425,-21.215,-21.277,-20.914,-20.999,-21.245,-21.432,-21.425,-21.296,-20.836,-21.332,-21.012,-21.317,-21.299,-21.412,-21.509,-21.463,-21.095,-21.392,-21.349,-21.414,-19.277,-21.441,-21.446,-21.409,-21.103,-21.146,-21.289,-21.411,-21.392,-21.436,-21.367,-21.367
-19.988,-20.337,-17.727,-20.2,-20.124,-21.454,-21.435,-21.141,-21.084,-20.351,-20.654,-15.572,-20.879,-21.415,-21.304,-21.147,-19.861,-16.842,-20.34,-20.831,-20.481,-20.969,-21.418,-21.37,-21.092,-21.03,-20.69,-20.814,-20.659,-21.112,-21.125,-21.201,-15.321,-20.781,-20.97,-21.089,-21.03,-20.904,-21.307,-21.514,-20.607,-21.003,-21.166,-20.377,-21.202,-21.421,-21.269,-21.281,-20.629,-20.869,-20.909,-21.123,-21.072,-21.212,-20.704,-20.954,-21.022,-20.904,-20.73,-20.574,-20.731,-21.162,-21.201,-21.253,-20.648,-20.831,-19.814,-20.006,-20.762,-21.274,-21.266,-20.887,-19.579,-21,-20.075,-20.944,-20.917,-21.253,-21.501,-21.362,-20.338,-21.155,-21.027,-21.232,-15.176,-21.301,-21.303,-21.224,-20.353,-20.461,-20.878,-21.198,-21.147,-21.295,-21.1,-21.093
-18.069,-18.866,-12.519,-18.41,-18.288,-21.368,-21.319,-20.676,-20.535,-18.804,-19.496,-7.2525,-19.958,-21.262,-21.012,-20.663,-17.573,-10.258,-18.694,-19.901,-19.04,-20.176,-21.301,-21.192,-20.466,-20.298,-19.553,-19.845,-19.397,-20.539,-20.589,-20.741,-6.5917,-19.731,-20.188,-20.534,-20.35,-20.042,-20.952,-21.465,-19.313,-20.282,-20.666,-18.811,-20.784,-21.273,-20.956,-20.981,-19.396,-19.974,-20.036,-20.53,-20.435,-20.787,-19.58,-20.134,-20.311,-20.007,-19.599,-19.272,-19.664,-20.668,-20.755,-20.864,-19.46,-19.875,-17.365,-17.875,-19.711,-20.924,-20.946,-20.012,-16.835,-20.237,-18.056,-20.147,-20.074,-20.886,-21.458,-21.09,-18.699,-20.628,-20.335,-20.811,-6.2938,-20.99,-20.958,-20.841,-18.774,-18.918,-19.977,-20.696,-20.609,-20.994,-20.563,-20.56
-15.091,-16.494,-3.4754,-15.39,-15.242,-21.146,-21.101,-19.966,-19.658,-16.165,-17.615,7.5039,-18.275,-20.91,-20.477,-19.872,-13.489,1.4352,-15.767,-18.325,-16.503,-18.709,-21.091,-20.902,-19.361,-18.974,-17.591,-18.182,-17.009,-19.48,-19.6,-19.901,8.9345,-17.765,-18.768,-19.615,-19.133,-18.506,-20.303,-21.385,-16.95,-19.014,-19.783,-16.064,-20.052,-20.97,-20.401,-20.495,-17.29,-18.382,-18.434,-19.413,-19.271,-20.047,-17.584,-18.638,-19.005,-18.354,-17.6,-16.99,-17.81,-19.741,-19.961,-20.144,-17.309,-18.134,-13.031,-14.089,-17.878,-20.269,-20.406,-18.479,-11.891,-18.811,-14.435,-18.701,-18.584,-20.273,-21.361,-20.566,-15.821,-19.685,-19.076,-20.038,9.4783,-20.399,-20.293,-20.211,-16.054,-16.153,-18.367,-19.701,-19.575,-20.45,-19.661,-19.634
-11.173,-13.303,9.8864,-11.058,-11.004,-20.727,-20.709,-19.078,-18.475,-12.322,-14.931,29.691,-15.707,-20.326,-19.696,-18.725,-7.3791,19.09,-11.357,-16.059,-12.743,-16.396,-20.762,-20.522,-17.687,-16.924,-14.743,-15.752,-13.247,-17.878,-18.089,-18.622,32.39,-14.738,-16.622,-18.309,-17.311,-16.188,-19.212,-21.166,-13.307,-17.05,-18.412,-11.978,-18.97,-20.47,-19.637,-19.828,-14.171,-15.977,-16.034,-17.599,-17.477,-18.948,-14.577,-16.322,-16.926,-15.756,-14.524,-13.669,-15.08,-18.277,-18.759,-18.984,-14.081,-15.501,-6.4788,-8.3571,-15.146,-19.252,-19.65,-16.158,-4.3698,-16.621,-8.9231,-16.489,-16.312,-19.376,-21.12,-19.646,-11.54,-18.174,-17.134,-18.832,33.143,-19.498,-19.201,-19.339,-12.043,-11.811,-15.914,-18.017,-17.908,-19.659,-18.381,-18.332
-6.7714,-9.6093,27.054,-5.6304,-5.8325,-20.063,-20.208,-18.138,-17.027,-7.3971,-11.566,59.001,-12.272,-19.467,-18.717,-17.307,0.56873,42.433,-5.5947,-13.273,-7.8298,-13.254,-20.339,-20.058,-15.451,-14.096,-11.063,-12.621,-7.9977,-15.758,-16.048,-16.826,63.311,-10.734,-13.833,-16.757,-14.922,-13.188,-17.663,-20.701,-8.3589,-14.444,-16.489,-6.6997,-17.582,-19.721,-18.69,-19.079,-10.043,-12.764,-12.876,-15.001,-15.006,-17.483,-10.621,-13.19,-14.085,-12.193,-10.376,-9.4383,-11.507,-16.247,-17.082,-17.371,-9.7655,-11.98,2.2456,-0.88303,-11.585,-17.855,-18.692,-13.201,5.6572,-13.625,-1.5435,-13.54,-13.396,-18.208,-20.666,-18.294,-6.008,-16.098,-14.522,-17.204,64.065,-18.324,-17.658,-18.301,-6.9271,-5.81,-12.665,-15.568,-15.565,-18.73,-16.794,-16.783
-2.5001,-5.8551,46.509,0.31232,-0.39334,-19.079,-19.536,-17.289,-15.492,-1.8084,-7.8873,93.39,-8.1967,-18.297,-17.671,-15.786,9.666,69.799,0.94981,-10.363,-2.1427,-9.4522,-19.833,-19.525,-12.771,-10.644,-6.8586,-9.0485,-1.4825,-13.264,-13.643,-14.564,99.502,-6.1145,-10.664,-15.16,-12.044,-9.786,-15.819,-19.98,-2.3658,-11.336,-14.043,-0.56456,-15.944,-18.744,-17.601,-18.275,-5.1998,-8.915,-9.266,-11.706,-12.024,-15.83,-5.9995,-9.4336,-10.635,-7.7982,-5.3157,-4.7109,-7.3553,-13.747,-15.027,-15.344,-4.5778,-7.7833,12.446,7.5093,-7.4528,-16.102,-17.589,-9.8633,17.533,-10.032,7.3019,-10.02,-9.9722,-16.81,-19.83,-16.533,0.3075,-13.503,-11.417,-15.255,99.861,-17.004,-15.852,-17.263,-1.1209,1.6523,-8.7748,-12.322,-12.572,-17.772,-15.038,-15.135
0.98065,-2.5227,66.08,5.9698,4.7102,-17.85,-18.712,-16.712,-14.042,3.8242,-4.3591,129.71,-3.8056,-16.843,-16.717,-14.29,18.946,98.69,7.4219,-7.6888,3.8378,-5.3005,-19.272,-18.911,-9.8331,-6.9309,-2.594,-5.4577,5.768,-10.593,-11.053,-11.951,137.52,-1.4412,-7.5024,-13.75,-8.9281,-6.3369,-13.868,-18.964,4.2352,-8.0065,-11.329,5.7485,-14.254,-17.555,-16.461,-17.47,-0.13154,-4.7746,-5.675,-8.0002,-8.8282,-14.137,-1.042,-5.3891,-6.9149,-2.9722,0.15704,0.0004808,-2.9998,-10.968,-12.694,-13.061,1.0526,-3.3517,22.829,15.681,-3.2136,-14.235,-16.393,-6.4843,30.231,-6.1714,16.926,-6.2389,-6.3145,-15.224,-18.568,-14.506,6.7238,-10.63,-8.1701,-13.16,136.84,-15.712,-14.008,-16.39,4.8098,10.139,-4.6013,-8.5628,-9.1071,-16.962,-13.275,-13.568
3.273,-0.095295,83.272,10.729,8.8245,-16.517,-17.83,-16.464,-12.839,8.8466,-1.4061,164.16,0.43052,-15.115,-16.044,-13.036,27.304,125.87,12.83,-5.5266,9.4182,-1.2615,-18.616,-18.182,-6.841,-3.321,1.2818,-2.2591,12.924,-8.0332,-8.5553,-9.281,173.41,2.7797,-4.7444,-12.661,-5.8415,-3.226,-12.09,-17.753,10.776,-4.7724,-8.6037,11.546,-12.677,-16.288,-15.396,-16.655,4.5972,-0.74892,-2.5578,-4.2755,-5.8207,-12.63,3.7257,-1.5168,-3.3465,1.8507,5.5978,4.2513,1.1022,-8.1304,-10.223,-10.72,6.5572,0.80808,32.073,22.41,0.58567,-12.44,-15.079,-3.3811,42.476,-2.4129,26.433,-2.6795,-2.7278,-13.546,-16.924,-12.412,12.528,-7.7073,-5.1488,-11.146,170.93,-14.665,-12.458,-15.885,10.217,19.19,-0.60083,-4.7308,-5.4895,-16.378,-11.702,-12.283
