0.38122-3.8768i,0.33279-3.3843i,0.39222-3.9887i,0.2648-2.6929i,0.26132-2.6575i,0.20625-2.0975i,0.049954-0.50801i,0.081498-0.8288i,0.18547-1.8862i,0.19903-2.024i,0.26006-2.6447i,0.4957-5.041i,0.21973-2.2345i,0.18341-1.8652i,0.15779-1.6046i,0.12607-1.2821i,0.22812-2.3199i,0.37003-3.763i,0.25517-2.5949i,0.16711-1.6995i,0.23779-2.4182i,0.25134-2.556i,0.11356-1.1549i,0.17558-1.7856i,0.13742-1.3975i,0.17317-1.7611i,0.23394-2.3791i,0.17631-1.793i,0.206-2.0949i,0.15555-1.5819i,0,0,0.54881-5.5811i,0.29777-3.0282i,0.089506-0.91024i,0.20457-2.0804i,0.12381-1.2591i,0.19072-1.9396i,0.1468-1.4929i,0,0.14454-1.4699i,0.16346-1.6623i,0.15599-1.5864i,0.40545-4.1233i,0.13381-1.3608i,0.19227-1.9553i,0.10645-1.0826i,0.15555-1.5819i,0.30115-3.0626i,0.41764-4.2472i,0.15624-1.5889i,0.3955-4.0221i,0.14862-1.5114i,0.16443-1.6721i,0.19026-1.9348i,0.16598-1.6879i,0.15368-1.5629i,0.18239-1.8549i,0.21371-2.1733i,0.22029-2.2403i,0.12737-1.2953i,0.14944-1.5198i,0,0.11474-1.1669i,0.27112-2.7571i,0.25706-2.6142i,0.21723-2.2091i,0.31463-3.1997i,0.15851-1.612i,0.14427-1.4672i,0.1468-1.4929i,0.18963-1.9285i,0.25869-2.6308i,0.29459-2.9958i,0.26651-2.7103i,0.18679-1.8996i,0.2148-2.1844i,0.047771-0.48581i,0.076975-0.7828i,0.091586-0.93139i,0.29489-2.9989i,0.20795-2.1148i,0.17673-1.7973i,0.22793-2.318i,0.22707-2.3092i,0.1819-1.8499i,0.17438-1.7734i,0.085173-0.86618i,0.29001-2.9493i,0.26926-2.7382i,0.23863-2.4268i,0.20486-2.0833i,0.20579-2.0928i,0.193-1.9627i,0.15913-1.6183i,0.18161-1.8469i,0.17909-1.8212i,0.22499-2.288i,0.2023-2.0573i,0.32056-3.26i,0.23208-2.3602i,0.14384-1.4628i,0,0,0.18798-1.9117i,0.26648-2.71i,0.25179-2.5606i,0.17724-1.8025i,0.47192-4.7992i,0.11349-1.1542i,0.080265-0.81626i,0.15506-1.5769i,0.34127-3.4705i,0.2857-2.9054i,0.33063-3.3624i,0.35294-3.5892i,0.2193-2.2302i,0.20374-2.072i,0.1168-1.1878i,0.12362-1.2571i,0.21275-2.1636i,0.1908-1.9403i,0.26175-2.6619i,0.2637-2.6817i,0.17499-1.7795i,0.1447-1.4715i,0.077732-0.7905i,0.081803-0.8319i,0.19724-2.0059i,0.19966-2.0304i,0.20753-2.1105i,0.22023-2.2396i,0.17365-1.766i,0.1915-1.9474i,0.13004-1.3224i,0.12105-1.231i,0.19235-1.9561i,0.24329-2.4741i,0.21746-2.2115i,0.2733-2.7793i,0.27402-2.7867i,0.13926-1.4163i,0.15358-1.5619i,0.068517-0.69678i,0.19966-2.0304i,0.22392-2.2772i,0.16603-1.6884i,0.1495-1.5203i,0.22029-2.2403i,0.19694-2.0028i,0.16716-1.6999i,0.12513-1.2725i,0.20532-2.088i,0.43561-4.4299i,0.45325-4.6094i,0.21054-2.1411i,0.23942-2.4348i,0.20911-2.1265i,0.16488-1.6768i,0.082409-0.83806i
0.41357-4.2058i,0.37285-3.7918i,0.46228-4.7012i,0.3356-3.4129i,0.34654-3.5241i,0.27488-2.7954i,0.048308-0.49127i,0.078813-0.80149i,0.20808-2.116i,0.24608-2.5025i,0.34122-3.47i,0.67579-6.8725i,0.26133-2.6576i,0.20522-2.087i,0.16878-1.7164i,0.15616-1.5881i,0.2755-2.8017i,0.49436-5.0274i,0.35204-3.5801i,0.24167-2.4577i,0.29447-2.9946i,0.29343-2.984i,0.17233-1.7525i,0.19154-1.9479i,0.18415-1.8727i,0.23039-2.343i,0.41275-4.1974i,0.28518-2.9001i,0.30343-3.0858i,0.22438-2.2819i,0.13589-1.3819i,0,0.7404-7.5295i,0.37851-3.8493i,0.17202-1.7493i,0.20384-2.073i,0.2046-2.0807i,0.26919-2.7375i,0.1862-1.8936i,0.072363-0.7359i,0.2119-2.1549i,0.21926-2.2298i,0.24442-2.4857i,0.54413-5.5336i,0.2022-2.0563i,0.22365-2.2744i,0.11323-1.1515i,0.15043-1.5298i,0.39677-4.0349i,0.591-6.0102i,0.20114-2.0455i,0.55239-5.6175i,0.14373-1.4616i,0.17074-1.7364i,0.24202-2.4612i,0.24391-2.4804i,0.19388-1.9716i,0.23489-2.3887i,0.29136-2.963i,0.28154-2.8631i,0.21736-2.2105i,0.19876-2.0213i,0.084394-0.85825i,0.16347-1.6624i,0.3403-3.4607i,0.31864-3.2404i,0.2482-2.5241i,0.4284-4.3567i,0.18671-1.8988i,0.19894-2.0231i,0.19427-1.9756i,0.27016-2.7474i,0.33097-3.3658i,0.37429-3.8064i,0.3737-3.8003i,0.24083-2.4492i,0.28823-2.9312i,0.16697-1.698i,0.14163-1.4404i,0.088569-0.9007i,0.40809-4.1501i,0.29038-2.953i,0.186-1.8915i,0.28362-2.8843i,0.28892-2.9382i,0.23026-2.3416i,0.20643-2.0993i,0.17294-1.7587i,0.38191-3.8839i,0.37645-3.8284i,0.30499-3.1017i,0.28131-2.8608i,0.24339-2.4751i,0.23165-2.3558i,0.25256-2.5684i,0.20201-2.0543i,0.25696-2.6131i,0.32385-3.2934i,0.22435-2.2815i,0.45584-4.6357i,0.32412-3.2961i,0.16599-1.688i,0,0.055933-0.56881i,0.25188-2.5615i,0.37164-3.7794i,0.34514-3.5099i,0.27931-2.8404i,0.64338-6.5429i,0.18077-1.8384i,0.077621-0.78937i,0.17593-1.7891i,0.51443-5.2315i,0.38416-3.9067i,0.42998-4.3727i,0.47316-4.8118i,0.24071-2.448i,0.22836-2.3223i,0.1631-1.6586i,0.1713-1.7421i,0.25482-2.5915i,0.22634-2.3018i,0.36177-3.6791i,0.35205-3.5802i,0.20967-2.1322i,0.17584-1.7882i,0.20524-2.0872i,0.11894-1.2095i,0.27848-2.832i,0.29969-3.0477i,0.30362-3.0877i,0.26379-2.6826i,0.219-2.2272i,0.26799-2.7254i,0.12575-1.2789i,0.12316-1.2525i,0.19086-1.9409i,0.31327-3.1858i,0.27976-2.845i,0.34766-3.5355i,0.38114-3.876i,0.22196-2.2573i,0.18963-1.9285i,0.15673-1.5939i,0.26405-2.6853i,0.30409-3.0925i,0.22534-2.2916i,0.15888-1.6157i,0.31753-3.2292i,0.28656-2.9142i,0.19336-1.9663i,0.20577-2.0926i,0.26162-2.6606i,0.58995-5.9995i,0.62626-6.3687i,0.28345-2.8826i,0.32928-3.3486i,0.25508-2.5941i,0.18275-1.8585i,0.10413-1.059i
0.33209-3.3772i,0.2651-2.696i,0.34128-3.4707i,0.35699-3.6304i,0.31093-3.162i,0.2914-2.9634i,0.1432-1.4563i,5.6202e-08,0.19818-2.0154i,0.20687-2.1038i,0.30264-3.0777i,0.66051-6.7171i,0.21538-2.1903i,0.19182-1.9508i,0.17927-1.8231i,0.11951-1.2153i,0.28305-2.8785i,0.5034-5.1193i,0.35172-3.5768i,0.28222-2.8701i,0.29973-3.0481i,0.245-2.4916i,0.16905-1.7191i,0.12599-1.2813i,0.24246-2.4658i,0.23983-2.439i,0.44052-4.4799i,0.32698-3.3252i,0.29707-3.021i,0.21633-2.2i,0.2356-2.3959i,0.10253-1.0427i,0.72517-7.3747i,0.36423-3.704i,0.22036-2.241i,0.1909-1.9414i,0.24562-2.4978i,0.25514-2.5946i,0.20417-2.0763i,0.069979-0.71165i,0.22528-2.291i,0.19214-1.954i,0.23779-2.4182i,0.52848-5.3744i,0.19942-2.028i,0.2058-2.0929i,0.18501-1.8814i,1.0727e-07,0.39729-4.0402i,0.59258-6.0263i,0.22859-2.3247i,0.53821-5.4734i,0.12767-1.2984i,0.14921-1.5174i,0.27091-2.7551i,0.2115-2.1509i,0.2244-2.2821i,0.2136-2.1723i,0.27838-2.831i,0.31553-3.2088i,0.22935-2.3324i,0.16152-1.6426i,0.081614-0.82998i,0.18943-1.9264i,0.30663-3.1183i,0.31507-3.2042i,0.21253-2.1614i,0.40539-4.1226i,0.20735-2.1086i,0.17979-1.8284i,0.19797-2.0133i,0.35459-3.606i,0.31789-3.2328i,0.33897-3.4471i,0.39271-3.9937i,0.26176-2.662i,0.27979-2.8453i,0.2101-2.1366i,0.16402-1.668i,0.049954-0.50801i,0.40485-4.1171i,0.26551-2.7001i,0.077319-0.7863i,0.26154-2.6597i,0.27805-2.8276i,0.22017-2.2391i,0.1221-1.2417i,0.15569-1.5833i,0.37739-3.8379i,0.37616-3.8253i,0.28573-2.9057i,0.2455-2.4967i,0.24809-2.523i,0.21055-2.1412i,0.24224-2.4635i,0.15744-1.6011i,0.2698-2.7437i,0.35842-3.645i,0.23551-2.395i,0.44376-4.5129i,0.32996-3.3555i,0.12828-1.3046i,0,0.075259-0.76535i,0.26356-2.6803i,0.36387-3.7004i,0.35478-3.608i,0.29266-2.9763i,0.64267-6.5357i,0.1856-1.8875i,0.20032-2.0372i,0.18808-1.9126i,0.5516-5.6095i,0.41303-4.2003i,0.40439-4.1125i,0.44319-4.507i,0.19613-1.9945i,0.181-1.8407i,0.13284-1.3509i,0.12364-1.2574i,0.18552-1.8866i,0.19495-1.9826i,0.35393-3.5993i,0.33286-3.385i,0.21043-2.1399i,0.13902-1.4137i,0.1872-1.9037i,0.089171-0.90683i,0.28748-2.9236i,0.31324-3.1855i,0.32633-3.3186i,0.21598-2.1964i,0.20341-2.0686i,0.27966-2.844i,0.15551-1.5814i,0.050934-0.51797i,0.097569-0.99223i,0.28088-2.8564i,0.28221-2.87i,0.35933-3.6543i,0.401-4.078i,0.20415-2.0761i,0.19385-1.9714i,0.20672-2.1023i,0.31024-3.155i,0.32967-3.3526i,0.16623-1.6905i,0.20419-2.0765i,0.33068-3.3628i,0.29582-3.0084i,0.16842-1.7128i,0.21745-2.2114i,0.22865-2.3252i,0.58739-5.9735i,0.62334-6.3391i,0.26405-2.6852i,0.32154-3.2699i,0.27502-2.7968i,0.13995-1.4233i,0.068148-0.69303i
6.7469,6.1778,7.2873,4.1254,3.8484,3.1375,0.10211-1.0384i,1.6333,3.3285,3.6614,4.4806,7.7934,3.839,3.3621,2.6958,2.1247,3.5293,5.5405,3.7702,1.1307,3.4393,4.4675,1.762,3.2702,1.474,2.5696,3.0845,1.4027,2.5537,2.3993,0.19433-1.9762i,0.099156-1.0084i,8.4084,4.7557,0.16732-1.7015i,3.4506,1.1443,2.9564,2.3207,0.048511-0.49333i,1.7316,2.8226,2.7519,6.3823,1.9171,3.0836,1.2573,2.3988,4.5497,6.1923,2.3164,6.1184,2.0366,3.0424,2.7212,3.1571,1.9509,2.8363,3.4871,2.8338,1.335,2.5037,5.8199e-08,1.2937,4.6394,3.9156,3.8198,5.0725,1.7833,2.1846,2.0611,0.99073,4.1943,5.0613,3.6702,2.3335,3.4621,0.11088-1.1276i,1.0536,1.7824,4.6868,3.2854,3.1454,3.9792,3.541,2.8549,3.1557,1.4927,4.394,3.955,4.1897,3.5553,2.952,3.3959,2.4659,3.3449,2.5014,2.1949,3.1025,4.9066,3.5542,2.5653,0.072246-0.73471i,0.052867-0.53763i,2.8216,4.1201,3.7156,1.9999,6.8575,0.13716-1.3948i,0.18777-1.9096i,2.6501,4.4762,3.4008,5.3573,5.8024,3.8194,3.5804,2.2705,2.4776,4.0361,3.2608,3.9949,4.3072,2.759,2.3655,1.4385,1.1985,2.8615,2.1803,2.5477,3.896,2.8295,2.9784,2.0065,2.4113,3.6148,4.3337,3.451,3.8699,3.9485,2.4218,2.0396,0.11945-1.2148i,2.3173,3.1242,2.7755,0.97534,2.8609,2.864,3.0213,1.7545,3.3936,6.4049,6.8586,3.2378,3.8492,3.2108,2.7398,1.2137
13.303,11.869,14.201,9.6861,9.4621,7.7829,1.6124,2.7691,6.5379,7.2535,9.8162,18.809,7.7161,6.381,5.4264,4.4927,8.2502,13.715,9.5177,6.1257,8.3858,9.041,4.3449,6.2347,5.0199,6.3488,10.032,6.9039,7.7527,6.0466,2.7236,7.0709e-08,20.514,10.906,3.682,6.8861,5.253,7.2109,5.4502,1.3844,5.5635,6.1869,6.4186,15.017,5.2889,6.8001,3.6722,4.9511,11.078,15.903,5.7408,15.025,4.6078,5.6999,6.8568,6.5242,5.5848,6.646,8.0802,7.7894,5.0954,5.6059,1.6829,4.4642,9.9124,9.3461,7.5786,11.797,5.3721,5.3341,5.4378,7.1216,9.4957,10.797,10.021,6.6335,8.0024,3.3495,3.5373,3.169,11.212,7.8576,6.0177,8.3659,8.1546,6.5959,6.2315,3.9567,10.66,10.154,8.8347,7.8637,7.1943,6.9314,6.4854,6.3695,6.7059,8.3241,7.0051,12.183,8.788,5.1922,0.069866-0.7105i,1.115,6.966,10.081,9.5391,7.0544,17.561,3.93,1.9985,5.6332,13.538,10.285,12.175,13.206,7.5746,7.1679,4.6077,4.8993,7.7343,6.7297,9.8387,9.8558,5.9936,5.0989,4.327,2.8856,7.5439,7.6265,7.972,7.8435,6.2921,7.3628,4.2185,4.2076,6.5147,8.9799,7.8734,9.7835,10.315,5.7288,5.3561,3.3236,7.2244,8.3765,6.1692,4.6342,8.319,7.6298,6.0947,5.3154,7.5536,16.183,17.098,7.7162,8.9496,7.5345,5.7839,2.9607
20.033,17.624,21.278,15.48,15.08,12.429,3.5507,3.9104,9.9964,11.025,15.209,30.183,11.866,9.7285,8.4696,6.9633,12.947,22.216,15.384,10.68,13.511,13.582,7.2445,9.058,8.5579,10.242,16.855,11.999,12.778,9.6647,6.0478,1.9006,33.176,17.155,7.0534,10.455,8.8565,11.626,8.594,2.4935,9.1664,9.6013,10.161,24.129,8.5608,10.469,6.3006,7.2444,17.797,25.905,9.1486,24.181,7.3099,8.5268,11.219,10.13,9.0737,10.345,12.796,12.919,8.7117,8.6945,2.9159,7.314,15.416,14.712,11.5,18.773,8.8483,8.5481,8.8114,12.521,14.96,16.78,16.413,10.918,12.715,6.4643,5.7167,4.4232,17.946,12.437,8.7565,12.94,13.033,10.374,9.1625,6.5721,17.079,16.447,13.721,12.179,11.44,10.659,10.449,9.5826,11.112,14.202,10.973,19.68,14.176,7.7441,0.093526-0.95112i,1.929,11.228,16.19,15.359,11.793,28.623,7.308,5.0236,8.5782,22.435,17.162,19.194,20.837,11.53,10.854,6.9945,7.1879,11.489,10.316,15.826,15.542,9.6133,7.8544,7.358,4.7628,12.147,12.707,13.236,11.995,9.8723,11.807,6.7247,5.8141,9.3766,13.968,12.59,15.833,16.827,8.9748,8.7306,6.4678,12.18,13.691,9.4629,8.0174,13.784,12.51,9.1358,8.7244,11.681,26.225,27.683,12.336,14.398,11.946,8.6176,4.3221
26.574,22.98,28.034,21.388,20.991,17.117,5.4371,4.684,13.323,14.654,20.472,42.082,15.978,12.981,11.372,9.2525,17.715,30.995,21.442,15.453,18.823,18.054,10.118,11.748,12.337,14.235,23.852,17.415,18.122,13.295,9.3668,3.3125,46.716,23.513,10.769,14.031,12.598,16.094,11.792,3.497,12.9,12.903,13.868,33.555,11.945,14.192,8.9391,9.8937,24.666,36.376,12.847,33.676,10.283,11.118,15.677,13.581,12.737,14.212,17.483,18.325,12.629,11.665,4.0827,10.27,20.829,20.24,15.445,25.848,12.517,11.823,12.221,18.189,20.454,22.778,23.083,15.529,17.461,9.4055,7.9778,5.4416,24.779,17.17,11.425,17.377,17.924,14.215,12.081,9.1,23.683,22.917,18.48,16.366,15.882,14.332,14.493,12.609,15.687,20.397,15.037,27.397,19.68,10.175,1.1538,3,15.606,22.417,21.287,16.726,40.38,11.093,8.4589,11.478,31.714,24.519,26.357,28.616,15.355,14.394,9.1005,9.3705,15.012,13.972,21.929,21.302,13.359,10.635,10.27,6.6443,16.872,18.13,18.737,16.07,13.519,16.365,9.3508,7.3382,12.06,18.802,17.358,22.157,23.554,12.28,12.187,9.5038,17.333,19.14,12.872,11.854,19.395,17.382,11.966,12.05,15.759,36.834,38.828,17.087,19.836,16.486,11.464,5.8927
32.477,27.545,33.918,26.936,26.805,21.472,7.4335,5.3961,16.293,17.938,25.107,53.723,19.865,16.034,14.095,11.507,22.149,39.514,27.339,20.259,24.104,22.091,12.797,13.918,16.012,18.152,30.566,22.827,23.427,16.578,12.345,4.6031,60.502,29.523,14.498,17.307,16.007,20.254,14.745,4.5132,16.561,15.877,17.169,42.833,15.033,17.711,11.465,12.592,31.3,46.672,16.368,42.879,13.296,13.364,19.919,16.684,16.265,17.973,21.848,23.765,16.517,14.337,5.0355,13.139,25.789,25.41,19.211,32.589,16.336,14.94,15.327,23.691,25.578,28.35,29.591,20.115,21.96,12.254,10.193,6.3375,31.192,21.613,13.82,21.357,22.668,17.907,14.683,11.304,30.035,29.117,22.817,20.118,20.187,17.657,18.18,15.219,20.067,26.603,18.936,34.871,24.945,12.229,2.3489,4.1204,19.783,28.359,26.871,21.435,52.268,15.118,12.047,14.058,40.569,31.885,33.163,36.05,18.901,17.523,10.888,11.034,18.04,17.376,27.772,26.66,17.111,13.33,13,8.6712,21.416,23.527,23.983,19.808,16.826,20.521,11.911,8.5901,14.384,23.195,22,28.398,30.061,15.31,15.634,12.458,22.334,24.295,16.091,15.891,24.895,21.943,14.416,15.055,19.572,47.446,49.907,21.674,25.03,20.742,14.055,7.4588
37.311,30.796,38.382,31.697,32.233,25.11,9.3944,5.9626,18.681,20.656,28.653,64.135,23.35,18.66,16.297,13.442,25.886,47.09,32.642,24.736,28.899,25.41,15.123,15.529,19.468,21.725,36.441,27.838,28.407,19.307,14.74,6.0862,73.65,34.745,18.132,20.023,18.764,23.768,17.261,5.3448,19.774,18.218,19.8,51.322,17.564,20.778,13.579,15.277,37.22,56.034,19.557,51.105,16.316,15.031,23.657,19.29,19.341,21.39,25.462,28.756,20.204,16.39,5.5843,15.571,29.858,29.749,22.623,38.511,20.015,17.742,17.89,28.478,29.908,33.098,35.429,24.294,25.828,14.646,12.233,7.1113,36.64,25.53,15.891,24.574,26.884,21.111,16.948,13.137,35.645,34.59,26.401,23.125,24.06,20.427,21.24,17.192,24.019,32.326,22.322,41.572,29.498,13.745,3.7568,5.0789,23.461,33.53,31.589,25.539,63.495,19.106,15.631,16.071,48.136,38.83,39.184,42.637,21.775,19.867,12.049,12.163,20.366,20.47,32.855,31.258,20.643,15.805,15.311,10.739,25.371,28.514,28.535,22.967,19.681,23.962,14.244,9.6636,16.267,26.782,26.145,34.081,35.82,17.97,18.841,15.141,26.785,28.712,18.971,19.897,29.821,25.649,16.103,17.296,22.766,57.339,60.128,25.827,29.553,24.447,16.376,9.3601
40.756,32.554,41.179,35.301,36.925,27.799,11.207,6.6368,20.365,22.79,30.796,72.371,26.235,20.857,17.887,15.123,28.712,53.06,37.068,28.508,32.93,27.903,16.873,16.511,22.361,24.726,41.132,32.148,32.721,21.199,16.293,7.6026,85.194,38.839,21.309,21.933,20.625,26.295,19.22,6.0273,22.367,19.811,21.659,58.416,19.272,23.298,15.061,17.766,41.988,63.69,22.264,57.736,18.92,16.035,26.568,21.359,21.799,24.395,28.116,32.931,23.442,17.726,5.7137,17.508,32.736,32.926,25.567,43.223,23.294,20.01,19.542,32.055,33.141,36.747,40.205,27.776,28.798,16.399,14.181,8.1173,40.735,28.605,17.696,26.803,30.33,23.738,18.753,14.436,40.145,38.954,29.063,25.293,27.269,22.476,23.335,18.363,27.27,37.087,25.026,47.061,33.095,14.629,4.9124,6.2319,26.406,37.614,35.078,28.638,73.231,22.688,18.89,17.401,53.516,44.782,44.064,48.013,23.815,21.194,12.662,12.716,22.077,23.019,36.83,34.737,23.796,17.944,17.07,12.709,28.602,32.847,31.997,25.381,21.731,26.364,16.111,10.8,17.79,29.334,29.523,38.819,40.461,20.218,21.528,17.27,30.305,32.083,21.349,23.517,33.908,28.122,17.071,18.575,25.249,65.826,68.747,29.271,33.139,27.402,18.326,11.506
42.802,32.834,42.293,37.606,40.683,29.531,12.951,7.7031,21.342,24.375,31.504,77.789,28.442,22.49,18.784,16.593,30.589,57.024,40.402,31.43,35.943,29.578,17.909,16.991,24.609,27.119,44.457,35.412,36.161,22.322,16.861,9.3163,94.184,41.667,23.868,22.851,21.533,27.576,20.59,6.5902,24.256,20.623,22.763,63.671,20.245,25.189,15.771,19.746,45.465,69.111,24.285,62.372,21.002,16.373,28.527,22.958,23.576,26.872,29.715,35.925,26.003,18.466,5.6239,18.853,34.332,34.776,27.938,46.532,26.161,21.624,20.144,34.1,35.215,39.161,43.601,30.267,30.767,17.547,16.115,9.4958,43.301,30.715,19.261,28.019,32.849,25.699,20.123,15.209,43.274,42.053,30.899,26.706,29.648,23.697,24.363,18.67,29.614,40.557,26.914,51.137,35.519,14.993,6.4671,7.6207,28.476,40.426,37.226,30.571,80.726,25.528,21.601,18.173,56.136,49.359,47.696,51.996,24.865,21.419,12.824,12.901,23.229,25.038,39.497,37.055,26.352,19.65,18.15,14.526,31.043,36.297,34.041,26.959,22.971,27.63,17.318,12.054,18.999,30.807,32.055,42.298,43.734,22.109,23.663,18.923,32.66,34.19,23.066,26.517,36.889,29.102,17.397,18.771,27.095,72.37,75.144,31.867,35.649,29.561,19.96,13.89
